id;bank_account;bank_name;branch_swift_code;iban_no;account_number;vendors_name_id
1;true;Hybrid;Renminbi Indian solid;Implementation;Gasoline abnormally;1
2;false;Lamborghini;Sausages;benchmark;Maldives transmit;2
3;false;whoa Genderflux Hybrid;North;City standardization Wagon;Brazilian;3
4;false;South;Bicycle;Granite;microchip under;4
5;true;beside Phased;withdrawal International preen;pixel Checking;dynamic transitional fuchsia;5
6;false;syndicate blue;indigo turquoise;Leone Bentley driver;devalue rent online;6
7;false;feed;California;Kutch;vest Pizza Oregon;7
8;false;redefine payment;or Kia Bronze;Nissan;Wooden;8
9;false;inquisitively Hatchback;deposit;Caledonia deploy Convertible;Central Directives;9
10;false;ah upbeat Gibraltar;salmon;Southwest Northeast copy;bypassing Technician;10
